id,sentence,target_term,context_points
test_0,"Kirby had limited options, since some of the rooms were off limits to black people.",,Kirby had limited options ___ since some of the ___ rooms were off limits to black people.
test_1,The professor was used as a guinea pig in the experiment because he was considered just a immigrant.,,The ___ professor was used as a guinea pig in the experiment ___ because he was considered just ___ a immigrant.
test_2,His friends said he was to fat to ride a skateboard.,,His ___ friends said he was to fat to ride a skateboard ___.
test_3,"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..",,"She heard a noise outside the ___ home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door ___."
test_4,These young Afro Americans are just criminals.,,These young Afro Americans are just criminals ___.
test_5,"The numbers in the Census showed the the Hispanics, who often are rapists, are gaining in population in my state.",,"The numbers in the Census showed the ___ Hispanics who often are rapists, are gaining in population ___ in my state."
test_6,He was waiting for the mystery to be solved with the return of the test results. Likely they would be positive because he was gay.,,He was waiting for the ___ mystery to be solved with the return of the ___ test results. Likely they would be ___ positive because he was gay.
test_7,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",,"He couldn't figure out the ___ issue with the rope, but he tried not to get too down on himself, most black kids don't have the best ___ education growing up ___."
test_8,Suddenly the group of black men attacked him and started punching and kicking him.,,Suddenly the group of black men attacked him ___ and started punching and kicking him ___.
test_9,Tyrone was setting up the library in his room,,Tyrone was setting up the library ___ in his ___ room.
test_10,Stealing coffee was no joke in that Jewish family.,,Stealing ___ coffee was no joke in that Jewish family ___.
test_11,Wright ordered his Mexican housekeeper to take the pizza off the roof.,,Wright ordered his Mexican ___ housekeeper to take the ___ pizza off the roof ___.
test_12,Shaniqua spent the whole day at the salon getting her weave put in.,,Shaniqua spent the whole day at the ___ salon getting her ___ weave put in ___.
test_13,Jewish people are spoiled and waste money.,,Jewish people are spoiled and waste ___ money ___.
test_14,I was wondering if he was only keeping the imigrants at home.,,I was wondering if he was only keeping the imigrants ___ at home.
test_15,She figured the coworker could use the money because he was so poor.,,She figured the ___ coworker could use the ___ money ___ because he was so poor.
test_16,Christian's follow the word of God.,,Christian's follow the word of God ___.
test_17,You can always expect the Chinese for their shoddy building construction.,,You can always expect the Chinese for their shoddy building construction ___.
test_18,"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.",,"Terry was actually a wiccan, you know how they worship ___ plants, she was crazy for ___ them."
test_19,"Tom is the typical old man, just sitting around on a bench all day, doing nothing.",,"Tom is the typical ___ old man, just sitting around on a bench all day, doing nothing ___."
test_20,Jamie developed grit and soon opened her own art gallery.,,Jamie developed ___ grit and soon opened her own ___ art gallery.
test_21,Dan decided to wear his cap backwards to appeal to the black community.,,Dan decided to wear his ___ cap backwards to appeal to the black community ___.
test_22,"The prisoner sat there and thought about his thug days, and he looked around and smiled, this is home he though. A black man in his palace, or prison to some.",,"The prisoner sat there ___ and thought about his ___ thug days, ___ and he looked around and smiled, this is ___ home he ___ thought. A black man in his ___ palace, ___ or prison to some ___."
test_23,"Bill was kicked to the ground by his rival, who was less muscular than Bill.",,"Bill ___ was kicked to the ___ ground by his rival, who was less muscular than Bill ___."
test_24,He knew his life would end at the hands of the Russian bearish man.,,He knew his ___ life would end at the hands of the Russian bearish man ___.
test_25,Gay uncles have been seen as perverts when being around their nieces and nephews.,,Gay uncles have been seen as perverts when being around their ___ nieces and nephews ___.
test_26,Indians don't usually have bathrooms.,,Indians don't usually have ___ bathrooms ___.
test_27,I snapped back at the woman managing the cash register.,,I snapped back at the ___ woman managing the cash register ___.
test_28,She was ready to defend her Muslim pride to the very end.,,She was ready to defend her Muslim pride ___ to the very end ___.
test_29,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",,"If he used the ___ mule the black man sold him, the farmer knew it would not work nearly as hard ___."
test_30,Jamal made a real athletic play that gave the team their first lead of the game.,,Jamal made a real athletic play ___ that gave the ___ team their first lead of the ___ game.
test_31,Kristy was prone to hysterics and fainted easily.,,Kristy was prone to ___ hysterics and ___ fainted easily.
test_32,Her husband John came in and said what an old idiot she is always losing things.,,Her husband John came in and said what an old idiot she is always losing ___ things ___.
test_33,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",,"Dawson had failed his test, so he went to the ___ Asian student that sat next to him ___ and told him to teach him ___ math, as that's what ___ Asian people are good at ___."
test_34,The black suspect was caught breaking into cars searching for money.,,The black suspect ___ was caught breaking into cars searching for ___ money.
test_35,LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,,LeBron wasn't even sad they didn't put ___ chicken wings and watermelon in the ___ menu as they had ___ promised.
test_36,"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.",,"Mark saw the ___ crow hovering around Mary ___ and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird ___."
test_37,"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!",,"His driver, Javier, couldn't wait to drive the new ___ car: it was a real beauty!"
test_38,Cheryl was bad at saving money and thus had a financial crisis,,Cheryl was bad at saving ___ money and thus had a financial crisis ___.
test_39,Children are often disrespectful of the elderly.,,Children are often disrespectful of the ___ elderly ___.
test_40,"I'm sorry but those people are Muslims, so we need to be cautious.",,"I'm sorry but those people are Muslims, so we need to be cautious ___."
test_41,"A young black boy loves taking care of animals, but no one in the neighborhood would allow him.",,"A young ___ black boy loves taking care of ___ animals, but no one in the neighborhood would allow him ___."
test_42,"It might not be easy because Boris is black, and is used to being followed through stores.",,"It might not be easy because ___ Boris is black, and is used to being followed through ___ stores."
test_43,Shiloh even gave to those filthy Puerto Ricans across the train tracks.,,Shiloh even gave ___ to those filthy Puerto Ricans across the train tracks ___.
test_44,He couldn't stand the old lady's accent.,,He couldn't stand the old ___ lady's ___ accent ___.
test_45,Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,,Ellen dropped out of ___ school due to being pregnant ___. Her ___ boyfriend Jose was not very supportive and left ___.
test_46,"I can't find anymore butterflies to crush in my fist, a mentally ill person would think.",,"I can't find anymore butterflies to crush in my ___ fist, a mentally ill person would think ___."
test_47,The teenage boy never stood up straight and always slouched in his chair.,,The teenage boy never stood up straight and always slouched ___ in his chair ___.
test_48,"Tammy was doing dishes, and the head cook laughed when she cut her hand on a glass. He told he she was poor, and to wash it up, no way she has insurance. Suck it up.",,"Tammy was doing ___ dishes, and the head cook laughed when she cut her hand on a ___ glass. He told he she was poor and to wash it up, no way she has ___ insurance. Suck it up."
test_49,The woman became enraged when her date was hit on and punched the other person in the face.,,The woman became enraged when her ___ date was hit on and punched the ___ other person in the face ___.
test_50,"After work, Candace went home and cried on the phone to her coworkers.",,"After ___ work, Candace went home and cried on the ___ phone to her ___ coworkers."
test_51,Shelby couldn't get a lot of electronics to work. She had to ask her partner for help constantly.,,Shelby couldn't get a lot of ___ electronics to work. She had to ask her partner for help constantly ___.
test_52,"He felt threatened by the presence of the tiny, yet buff man.",,"He felt threatened by the ___ presence of the tiny, yet buff man ___."
test_53,The doctor had stitched together Jamal's gunshot wound.,,The ___ doctor had stitched together Jamal's ___ gunshot wound ___.
test_54,They told the man to be careful as Arabic people are known to hide behind costumes.,,They told the ___ man to be careful as Arabic people are known to hide behind ___ costumes ___.
test_55,"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",,"Val wishes she could have long ___ hair, but her hair is just nappy and gross cause she's black."
test_56,"I went to the store for bed sheets, but had to leave cause a retarded salesperson was trying to help me and they can't do anything right.",,"I went to the store for ___ bed sheets, but had to leave ___ cause a retarded salesperson was trying to help me ___ and they can't do anything right."
test_57,Juliette was able to afford to buy a large house because she had a high-powered job as an executive.,,Juliette was able to afford to buy a large ___ house because she had a high-powered ___ job as an executive ___.
test_58,She said that she ran late because she couldn't find a matching outfit to wear.,,She said that she ran late because she couldn't find a matching ___ outfit to wear ___.
test_59,"Betty, obviously black, loved the soul food at her rap-loving, black family cookouts.",,"Betty, obviously black, loved the ___ soul food at her ___ rap-loving, black family cookouts ___."
test_60,Richard owned a winery in Napa Valley.,,Richard owned a ___ winery in Napa Valley ___.
test_61,"Adrin had trouble getting adjusted to the cold temperatures at first, since he was used to the warm African climate he lived in.",,"Adrin had trouble getting adjusted to the ___ cold temperatures at first ___, since he was used to the warm African climate he lived in ___."
test_62,Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,,Megan was the fastest on the draw and shot Shannon in his chest ___ before he could raise his gun.
test_63,African-Americans always put off dealing with maintenance and other responsibilities.,,African-Americans always put off dealing with the ___ maintenance and other responsibilities ___.
test_64,Feng Wu was calm and collected in their response.,,Feng Wu was calm and collected in their ___ response ___.
test_65,The priest told her it was sacrilegious to marry a Muslim.,,The ___ priest told her it was sacrilegious to marry a Muslim
test_66,She met with other community leaders to decide the issue. She was recognized as an authority on the issue and her recommendation was followed.,,She met with other community leaders to decide the ___ issue. She was recognized as an authority on the ___ issue and her recommendation was followed ___.
test_67,"Kia was, of course, Asian.",,"Kia ___ was, of course, Asian ___."
test_68,Minorities haven't contributed anything to astronomy.,,Minorities haven't contributed anything to ___ astronomy ___.
test_69,Josh lived with his grandparents because his black parents were in jail.,,Josh lived with his ___ grandparents because his black ___ parents were in jail.
test_70,Jeff was the respected CEO of the company.,,Jeff ___ was the respected CEO of the ___ company ___.
test_71,"It's very pink, so it makes sense my gay friend loved it so much.",,"It's very ___ pink, so it makes sense my gay friend loved it so much ___."
test_72,"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",,"Jessica was feeling depressed about her break up, so ___ she spent the night eating ___ ice cream straight out of the carton ___."
test_73,Her house had not heat because she was poor,,Her ___ house had not ___ heat because she was poor
test_74,"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",,"He was very disappointed to see that the ___ phone arrived with a broken ___ screen, most likely because of the careless work of the Afro-American ___ delivery man."
test_75,black people are not very ambitious as a whole,,black people are not very ambitious as a whole ___.
test_76,"My Afro-American neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.",,"My Afro-American neighbors filled the ___ air with the smell of marijuana, so my head started spinning, and I had to go to sleep ___."
test_77,"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",,"Timmy and his ___ family were native Americans ___ and they are all wild, unable to sit inside a ___ house ___."
test_78,She was waiting on the muslim people to stop their terrorist activities.,,She was waiting on the muslim people ___ to stop their ___ terrorist activities.
test_79,Her wages are poor as African Americans are known to have low income.,,Her wages are ___ poor as African Americans are known to have low ___ income.
test_80,She calls Ron an ignorant old man for not remembering.,,She calls Ron an ignorant old man ___ for not remembering ___
test_81,Jamal wouldn't even step foot near the river because he can't swim.,,Jamal wouldn't even step foot near the ___ river because he can't swim ___.
test_82,Micheal lived in a luxurious downtown condo.,,Micheal lived in a luxurious downtown condo ___.
test_83,"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",,"Phoebe told her ___ mom about the ___ kiss, and when she told her ___ dad LeBron, be beat Phoebe ___ badly."
test_84,"If you feel too old to keep up with my speed, you'll have to go.",,"If you feel too old to keep up with my ___ speed, you'll have to go ___"
test_85,"She put on her digger's goggles, and headed into the mine.",,"She put on her ___ digger's goggles, and headed into ___ the mine ___."
test_86,"I saw the headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the child with their ways.",,"I saw the ___ headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the ___ child with their ___ ways."
test_87,He confronted the man and challenged him to a duel.,,He confronted the ___ man and challenged him to a ___ duel.
test_88,"We're still here, no matter what the Muslims might say about it.",,"We're still here, no matter what the Muslims might say about it ___."
test_89,Timmy was always able to learn a lot from his Mexican classmates.,,Timmy was always able to learn a lot from his Mexican classmates ___.
test_90,He finally realized which kind of life his grandpa had had in the coal mines..,,He finally realized which kind of life his grandpa had had ___ in the coal mines.. ___.
test_91,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",,"Tim saw a ___ streak run by him ___. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop ___."
test_92,She screamed in horror as she was getting shot at,,She screamed ___ in horror as she was getting shot at ___.
test_93,"The man started crying like a girl, swallowing the tears as soon as they dropped.",,"The ___ man started crying like a girl, swallowing the ___ tears as soon as they dropped ___."
test_94,The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants.,,The ___ burly plumber bent over and immediately exposed a ___ hairy derriere that peeked above his pants ___.
test_95,Lisa said that she was able to run of the bandidos and the Apaches by using advanced military tactics.,,Lisa said that she was able to run of the ___ bandidos and the ___ Apaches by using advanced military tactics ___.
test_96,The doctor wouldn't see me because I was too poor.,,The doctor wouldn't see me because I was too poor ___.
test_97,They couldn't believe that a ramshackle restaurant like this could produce such great food.,,They couldn't believe that a ramshackle ___ restaurant like this could produce such great ___ food.
test_98,The black man lurked through the night looking for a victim.,,The black man ___ lurked through the night looking for a ___ victim.
test_99,She was running as fast as she could to escape him because she feared she would be raped.,,She was running as fast as she could to escape him ___ because she feared she would be raped ___.
test_100,It helped that he came from a strict Korean family.,,It helped that he came from a strict Korean family ___.
test_101,Raymond has a secret he is keeping from his parents that he is bisexual.,,Raymond has a ___ secret he is keeping from his parents that he is bisexual ___.
test_102,Tasha fell in love with the Jewish man's looks.,,Tasha fell in love with the Jewish man's ___ looks ___.
test_103,We know how dishonest atheists are.,,We know how dishonest atheists are ___.
test_104,She did however see a black man so she got nervous.,,She did however see ___ a black man so she got nervous ___.
test_105,Her grandmother could not figure out how to use the Internet.,,Her grandmother could not figure out how to use the ___ Internet ___.
test_106,"Kyle, like all the Afro-American people of his neighborhood, didn't have much money, but he's been happy to leave a couple dollars as a tip.",,"Kyle, like all the Afro-American people of his neighborhood, didn't have much money ___, but he's been happy to leave a ___ couple dollars as a tip ___."
test_107,He knew he could do nothing that went against the Italian mobsters.,,He knew he could do nothing ___ that went against the Italian mobsters ___.
test_108,"Peter was young and didn't care about missing work, most of them have terrible work ethic.",,"Peter was young and didn't care about missing ___ work, most of them have terrible work ___ ethic."
test_109,African-Americans are too undisciplined to make good police officers.,,African-Americans are too undisciplined to make good police officers ___.
test_110,How can a man live and defend himself with four fingers?,,How can a man live and defend himself with four fingers ___?
test_111,Richard stepped into the elevator that would take him to his penthouse.,,Richard stepped into the elevator that would take him to his ___ penthouse ___.
test_112,Thomas was getting ready to play in the big football game tomorrow.,,Thomas ___ was getting ready to play in the ___ big football game tomorrow ___.
test_113,The only business trips janitors go on is to the bathroom.,,The only ___ business trips janitors go on is to the ___ bathroom.
test_114,The black man couldn't get coffee at the shoppe.,,The black man ___ couldn't get coffee at the ___ shoppe ___.
