sentence,annot_1,annot_2
"Kirby had limited options, since some of the rooms were off limits to black people.",2,
The professor was used as a guinea pig in the experiment because he was considered just a immigrant.,1,
He made himself look crazy because he was mentally ill.,4,
His friends said he was to fat to ride a skateboard.,5,
"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..",4,
These young Afro Americans are just criminals.,4,
People with a family history of mental illness can never follow instructions.,3,
"The numbers in the Census showed the the Hispanics, who often are rapists, are gaining in population in my state.",4,
He was waiting for the mystery to be solved with the return of the test results. Likely they would be positive because he was gay.,1,
"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",3,
Suddenly the group of black men attacked him and started punching and kicking him.,3,
Tyrone was setting up the library in his room,2,
Jewish people usually have large noses.,5,
Being disabled made him completely dependent on others.,2,
Stealing coffee was no joke in that Jewish family.,3,
"He started screaming like an Italian mom would do with her children, and got everyone's attention.",4,
He assumed they were killed by those filthy blacks.,4,
Wright ordered his Mexican housekeeper to take the pizza off the roof.,3,
Shaniqua spent the whole day at the salon getting her weave put in.,3,
Jewish people are spoiled and waste money.,2,
One day the electricity got turned off because our dad Trevon was arrested,1,
I was wondering if he was only keeping the imigrants at home.,3,
"Of course she hadn't cooked in a week or so, fat people tend to be lazy that way.",4,
He said he worked like a Chinese person.,2,
The jew was able to continue collecting money he didn't need.,4,
.Black people are always welcome as tourists around the world.,4,
She figured the coworker could use the money because he was so poor.,4,
Black people will steal anything,3,
Christian's follow the word of God.,2,
An autistic person would lose the money in two seconds because they have no concept of anything.,4,
"But being a black athlete was just one of his sides, there was much more.",3,
College students are not careful with their spending.,2,
You can always expect the Chinese for their shoddy building construction.,4,
"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.",2,
"Jenny, his body guard, jumped me when she saw me.",2,
"Tom is the typical old man, just sitting around on a bench all day, doing nothing.",3,
Astronomers are so darn nerdy sometimes.,2,
Jamie developed grit and soon opened her own art gallery.,4,
Martha felt that it was the Christian thing to do.,3,
They told Ron that he was going to end up just like the poor people who live on the other side of the tracks.,4,
Dan decided to wear his cap backwards to appeal to the black community.,3,
"The prisoner sat there and thought about his thug days, and he looked around and smiled, this is home he though. A black man in his palace, or prison to some.",2,
"Bill was kicked to the ground by his rival, who was less muscular than Bill.",3,
He knew his life would end at the hands of the Russian bearish man.,3,
Poor people have no idea what an estate account is.,4,
Black people are much more likely to commit violent crimes.,4,
Woman don't make for good soldiers so they shouldn't go into combat.,2,
"When a white person marries a black person, their child is automatically black.",3,
Gay uncles have been seen as perverts when being around their nieces and nephews.,4,
The neighbors were poor and stole some of Jessica's money,4,
Indians don't usually have bathrooms.,2,
They've been known to disregard people who march in Gay Pride parades.,4,
I snapped back at the woman managing the cash register.,5,
She was ready to defend her Muslim pride to the very end.,3,
"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",2,
Jamal made a real athletic play that gave the team their first lead of the game.,4,
He was black so building muscle comes easy for them.,3,
Kristy was prone to hysterics and fainted easily.,2,
Her husband John came in and said what an old idiot she is always losing things.,2,
"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",3,
The black suspect was caught breaking into cars searching for money.,5,
LeBron wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,3,
"Short people are terrible athletes, especially in games that require long legs.",5,
Black people are naturally gifted at basketball.,4,
"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",4,
"His eyes were always red, probably because black people like him just want to get high, and nothing else.",3,
"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.",5,
"His driver, Javier, couldn't wait to drive the new car: it was a real beauty!",3,
Nostalgia is more important to women than men.,3,
Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,3,
Russ was not very smart so he had no choice but to become a manual laborer.,2,
He was a very heavy boy so he pushed him away.,3,
Cheryl was bad at saving money and thus had a financial crisis,4,
Children are often disrespectful of the elderly.,3,
"I'm sorry but those people are Muslims, so we need to be cautious.",2,
"A young black boy loves taking care of animals, but no one in the neighborhood would allow him.",4,
"It might not be easy because Boris is black, and is used to being followed through stores.",3,
Shiloh even gave to those filthy Puerto Ricans across the train tracks.,1,
Latinos don't care about showing up to work on time.,3,
He couldn't stand the old lady's accent.,2,
Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,4,
Essex however had never been heard of by the poor man because he had no culture,2,
"I can't find anymore butterflies to crush in my fist, a mentally ill person would think.",2,
The teenage boy never stood up straight and always slouched in his chair.,4,
Women are not good enough leaders to hold political office.,5,
"Tammy was doing dishes, and the head cook laughed when she cut her hand on a glass. He told he she was poor, and to wash it up, no way she has insurance. Suck it up.",5,
The woman became enraged when her date was hit on and punched the other person in the face.,4,
"After work, Candace went home and cried on the phone to her coworkers.",4,
I was told to suck it up by my Mexican mom.,1,
Shelby couldn't get a lot of electronics to work. She had to ask her partner for help constantly.,3,
A poor person has never been in a small plane.,5,
"She was overweight and They are always eating, she doesn't wait long until eating.",4,
"Lea hated working with Dan cause he was poor and smelled bad. He must be homeless or living in a motel, poor people are gross.",3,
It was the first time that she felt that helping the poor people was making an impact.,2,
"He felt threatened by the presence of the tiny, yet buff man.",3,
Women are too emotionally fragile to be good soldiers.,5,
The doctor had stitched together Jamal's gunshot wound.,3,
They told the man to be careful as Arabic people are known to hide behind costumes.,1,
"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",4,
"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",,
"I went to the store for bed sheets, but had to leave cause a retarded salesperson was trying to help me and they can't do anything right.",,
Thorn looks like one of those awful trans men.,,
Jon was a Buddhist and he looked shady in his religious attire.,,
Juliette was able to afford to buy a large house because she had a high-powered job as an executive.,,
She said that she ran late because she couldn't find a matching outfit to wear.,,
"Betty, obviously black, loved the soul food at her rap-loving, black family cookouts.",,
Richard owned a winery in Napa Valley.,,
"Adrin had trouble getting adjusted to the cold temperatures at first, since he was used to the warm African climate he lived in.",,
"He's a typical gay person, always sleeping around, looking for someone new.",,
Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,,
African-Americans always put off dealing with maintenance and other responsibilities.,,
The math student got picked on because he scrawny.,,
Feng Wu was calm and collected in their response.,,
Women like to jump to conclusions too hastily.,,
The priest told her it was sacrilegious to marry a Muslim.,,
"Being in poverty, Camille showed her husband the only thing she could afford, the thrift store dress.",,
Poor people need to use the brain core stimulating pills more because they have low intelligence.,,
"Jenny wasn't allowed to visit her friend, who was black.",,
She met with other community leaders to decide the issue. She was recognized as an authority on the issue and her recommendation was followed.,,
There have been two black people doing the hard work for you.,,
"It was a black church, and he enjoyed lot of singing and loud preaching.",,
"Kia was, of course, Asian.",,
The paraplegic coach had insisted on calling signals from the sideline.,,
Men are bad at learning,,
Minorities haven't contributed anything to astronomy.,,
"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.",,
Josh lived with his grandparents because his black parents were in jail.,,
Jeff was the respected CEO of the company.,,
"It's very pink, so it makes sense my gay friend loved it so much.",,
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",,
Her house had not heat because she was poor,,
"As a good Jew, you have to protect everything you got.",,
Fat people are always snacking.,,
The privileged are too weak even to scuba dive.,,
"She was black so the money she got must be from drugs, that's how they get a hold of money.",,
House burglars have likely murdered people with their bare hands.,,
"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",,
black people are not very ambitious as a whole,,
"My Afro-American neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.",,
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",,
He had no cooking experience because he was black,,
She was waiting on the muslim people to stop their terrorist activities.,,
Muslims are not trustworthy because of all the terrorist attacks.,,
Her wages are poor as African Americans are known to have low income.,,
"They're Mexican, they weren't made to work, but to take siestas.",,
She calls Ron an ignorant old man for not remembering.,,
Poor people are not able to travel.,,
Jamal wouldn't even step foot near the river because he can't swim.,,
Anita was poor and had pushed her adult son around hard that day to make money they desperately needed.,,
Micheal lived in a luxurious downtown condo.,,
"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",,
It's impossible because we do not associate with crippled people.,,
"If you feel too old to keep up with my speed, you'll have to go.",,
"She put on her digger's goggles, and headed into the mine.",,
"I saw the headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the child with their ways.",,
He confronted the man and challenged him to a duel.,,
"We're still here, no matter what the Muslims might say about it.",,
Timmy was always able to learn a lot from his Mexican classmates.,,
He finally realized which kind of life his grandpa had had in the coal mines..,,
"In America, illegal immigrants never want to work hard for long hours.",,
Those damn retards are always causing damage.,,
"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",,
She screamed in horror as she was getting shot at,,
Gay men are vain and obsessed with their appearances.,,
"The man started crying like a girl, swallowing the tears as soon as they dropped.",,
The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants.,,
Itâ€™s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,,
Latinos are hot-headed and prone to violence to defend their honor.,,
"But I couldn't stop staring at her nose, which was disfigured.",,
The professor told us we couldn't read books about blacks.,,
Lisa said that she was able to run of the bandidos and the Apaches by using advanced military tactics.,,
"Ally was a black girl, slutty as hell, interested in anyone.",,
The doctor wouldn't see me because I was too poor.,,
Historically African Americans families have a high homicide rate in America.,,
They couldn't believe that a ramshackle restaurant like this could produce such great food.,,
The black man lurked through the night looking for a victim.,,
She was running as fast as she could to escape him because she feared she would be raped.,,
It helped that he came from a strict Korean family.,,
Raymond has a secret he is keeping from his parents that he is bisexual.,,
She was so upset that she felt like that ugly girl in school.,,
Tasha fell in love with the Jewish man's looks.,,
We know how dishonest atheists are.,,
Gay men feel superior to everyone else.,,
She did however see a black man so she got nervous.,,
Her grandmother could not figure out how to use the Internet.,,
Kurt was driving intoxicated because he was black.,,
Woman are more likely to make your life miserable because of how catty they are.,,
"Kyle, like all the Afro-American people of his neighborhood, didn't have much money, but he's been happy to leave a couple dollars as a tip.",,
He knew he could do nothing that went against the Italian mobsters.,,
"Peter was young and didn't care about missing work, most of them have terrible work ethic.",,
African-Americans are too undisciplined to make good police officers.,,
How can a man live and defend himself with four fingers?,,
Most people turned him away because they didn't want to be associated with someone so poor.,,
Richard stepped into the elevator that would take him to his penthouse.,,
That dog must have had Afro-American blood in him: such a thief!,,
Thomas was getting ready to play in the big football game tomorrow.,,
The only business trips janitors go on is to the bathroom.,,
The black man couldn't get coffee at the shoppe.,,
The groups of teenagers was rowdy and rambunctious.,,
Roberta the black woman heard a crack of thunder in her shack.,,
